ID,Title,Lifecycle,Topic,Priority,Description,Creation date,Linked terms,Solution idea
REQ-INTEGRATION-SCHEMA-APPLICATION-GUIDELINES,📜Requirements for applications using the metadata schema,Integration,Metadata Schema,Low,Allow developers to get going with the schema quickly with a clear set of requirements on how to integrate and work with the metadata schema and records. All applications that want to work with the standard are obliged to follow these guidelines.,2024-08-15,,Extrapolate a subset of the requirements on this page and format them on some kind of online documentation.
REQ-INTEGRATION-TOOLING-METADATA-FLEXIBILITY-FOR-APPLICATIONS,🔧 Metadata Integration Tools,Integration,Tooling,Medium,"A unified metadata schema used by the tools shall provide capabilities that allows each tool to customize the schema in certain limits to be best suited for the given use case of the tool. For example tools should be able to define explicit rules for what metadata fields are necessary and which are optional. Also the use of certain domain-specific metadata schemas/modules should be controllable, ensuring that relevant metadata is captured.",2024-09-23,,The input forms for metadata should be somehow generated. This might require inputs from the developer on what metadata modules are relevant and if certain fields should have a non-standard mandatory state. This could work best with a service that produces metadata forms that can be configured via the parameters to the endpoint
REQ-INTEGRATION-TOOLING-STANDARD-EXPORTS,🔧 Provide export capabilities,Integration,Tooling,Medium,To boost compatibility and interoperability it is necessary to provide exports in a selection of well established metadata standards,2024-10-22,,"Use formalized crosswalks to perform a conversion to classic standards like DCT, Datacite, ..."
REQ-USE-SCHEMA-DOCUMENTATION,📜Online documentation,Use,Metadata Schema,high,"Each metadata module / profile, and each individual metadata field shall have a definition and description text that is available online.",2024-08-15,,Generated documentation on GitHub pages
REQ-USE-SCHEMA-USAGE-GUIDE,📜Usage guide,Use,Metadata Schema,medium,"The metadata schema needs to be accompanied by an online documentation or guide on how to use it properly. This shall include different user perspectives including but not limited to data owners, application developers and data registry maintainers. Also, it needs to motivate why the usage of metadata and respective standards is important.",2024-08-15,,Additional Markdown based documentation that can accompany the generated GitHub pages.
REQ-USE-SCHEMA-DOCUMENTATION-TERMINOLOGY-DIFFERENCES,📜Visualize different use of terminology among reused / mapped schemas and ontologies,Use,Metadata Schema,medium,"Some terms are used differently between different standards or use different names for the same thing. The documentation shall provide a way to recognize those cases, to help users understand the differences of similar terms",2024-08-15,,"Use terminology from thesauri or SKOS to express ""similarTerms"", ""similarButDifferent"" and ""notToBeConfusedWith"" relations."
REQ-USE-SCHEMA-DOCUMENTATION-STAKEHOLDER-USERS,📜Schema documentation shall be understandable for users that need to fill or read metadata,Use,Metadata Schema,Medium,"The schema documentation must provide helpful information to users without semantics or metadata background, so it should not just be focused around developers",2024-08-15,,"This is hard to measure, so for now just involve end users in the design of the documentation."
REQ-USE-SCHEMA-CURATED-CONTROLLED-VOCABS,📜Allow for a curated way to extend controlled vocabularies,Use,Metadata Schema,Medium,"Strict controlled vocabularies can cause frustration for users, if they are unable to correctly express the meta information that would be best suited. Free text can sometimes describe better what a certain artifact / dataset is about, if there are no matching values in the controlled vocabulary. However, free text causes interoperability issues, so it is necessary to provide a process that allows to add new items to a controlled vocabulary in a curated way, that does not hinder the workflow of the user",2024-08-15,,"Embedding a terminology search into a metadata input form when there can be no proper choice made to find a reference in an ontology for a term. If the term from the other ontology fulfills yet to be determined characteristics it might be possible to extend the vocabulary with that term (initially for the time the form is active) and on a long run the added ""external"" terms could be curated and either accepted or revoked centrally for the schema."
REQ-USE-RECORD-SIMPLE-UI,📝Metadata UI needs to be simple and streamlined,Use,Metadata Record,High,Don't annoy or scare users with complex forms or workflows as this will prevent them from entering data alltogether. Simple and streamlined processes and UIs are key.,2024-08-15,,Provide either a wizard/survey like form with multiple small pages or a dialog with a chatbot rather than a form and use modern web frameworks to build the UI.
REQ-USE-RECORD-SIMPLIFY-LINKING,📝Simplify linking between metadata records,Use,Metadata Record,Low,For easier navigation and understanding relations between multiple (data) artifacts - it is necessary to allow to link between metadata records easily. Users are not likely to manually look up relations themselves. As a result any user interface should assist the user in finding appropriate potentially related metadata records automatically.,2024-08-15,,"Search for strategies how to identify metadata records with a certain degree of similarties, such that a service can propose them to be added as a related metadata record. (Use the OEP scenario comparision as a foundation)"
REQ-USE-RECORD-LANGUAGES,📝Metadata record value languages,Use,Metadata Record,Low,Ontologies do support annotation in multiple languages so any user interface shall be allowed to present metadata in any given language as long as the formal serialization is again in the standard language. Controlled vocabularies might also provide translations for a given item.,2024-11-07,,User interface code can use the respective language annotations for labels when displaying both fieldnames and selected (controlled) values
REQ-USE-RECORD-DOCUMENTATION-STAKEHOLDER-USERS,📝Metadata usage documentation shall be understandable for users that need to fill or read metadata,Use,Metadata Record,Medium,The workflow documentation must provide helpful information to users without data management background and shall allow everybody to get started with metadata annotation.,2024-11-07,,"This is hard to measure, so for now just involve end users in the design of the documentation."
REQ-USE-TOOLING-CONVERSION-SERVICE,🔧 Metadata Integration Tools,Use,Tooling,Medium,"Provide a tool that supports metadata record conversion from one schema to another, enabling easy integration for tool developers, even if their existing tools are built around a different metadata schema. This tool should facilitate interoperability across multiple schemas, reducing the burden on developers to manually map terms or fields.",2024-09-23,"https://schema.org/Thing, https://schema.org/convertTo, https://schema.org/targetFormat, http://purl.org/dc/terms/conformsTo, http://purl.org/dc/terms/format, http://purl.org/dc/terms/relation, https://www.w3.org/TR/prov-o/#wasDerivedFrom, https://www.w3.org/TR/prov-o/#hadPrimarySource, https://www.w3.org/ns/dcat#mediaType, https://www.w3.org/TR/vocab-dcat-2/#Class, http://edamontology.org/format_1915, http://edamontology.org/operation_0335, http://www.w3.org/2004/02/skos/core#exactMatch, http://www.w3.org/2004/02/skos/core#closeMatch","Consider using existing ontology matching tools to perform schema mapping, which can be used as foundation to automate much of the metadata record conversion process."
REQ-REVIEW-SCHEMA-DOCUMENTATION-CLEAR-REFERENCES,📜Documentation shall clearly show the terms used from other ontologies / schemas,Review,Metadata Schema,High,"Documentation should reference terms from other ontologies and schemas to maximize interoperability, providing clear links to the original sources and formal specifications. This approach ensures consistent terminology and enables seamless integration with external systems, enhancing the metadata’s usability across diverse platforms. It also increases the awareness of users about the origins of each metadata field.",2024-08-15,"https://schema.org/about, https://schema.org/itemReviewed, https://schema.org/reviewAspect, https://schema.org/author, https://schema.org/reviewBody, https://schema.org/mentions, https://schema.org/citation",Use Markdown and HTML to incorporate named links to external sources. Schema terms can be embedded as metadata tags or structured annotations where applicable.
REQ-REVIEW-SCHEMA-VERSIONING,📜Metadata schema / standard needs to have a clear versioning scheme,Review,Metadata Schema,High,"Implement a clear versioning scheme to ensure that each dataset is accurately linked to the correct schema version. This enables consistency, traceability, and compatibility across systems. The versioning system should include identifiers for major, minor, and patch updates. Each version should also link to release notes and modification dates where applicable. The current and all older versions must be accessible via a GUPRI.",2024-08-15,"https://schema.org/version, https://schema.org/releaseNotes, https://schema.org/dateModified","Use semantic versioning (e.g., MAJOR.MINOR.PATCH) and reference the used version in the metadata schema, so each record can be clearly referenced to the used version."
REQ-REVIEW-RECORD-FORMAT-VALIDATION,📝Metadata serialization format validation,Review,Metadata Record,High,Validation of metadata records improves the quality of metadata. Therefore used record serializations must allow for standardized validation mechanisms. Validation needs to be done in two stages (client and server) to first improve UX and second guarantee record conformance,2024-08-15,,JSON schema and JSONld can be used in conjunction to validate input metadata records. If using other semantic formats the superior validation of SHACL can be applied. Web user interfaces often support client side validation this should be applied whenever possible.
REQ-REVIEW-TOOLING-DOCUMENTATION-VERSION-CONTROL,🔧Version control shall be applied for documentation,Review,Tooling,medium,"Apply version control to the metadata schema documentation. This will improve documentation quality, make changes to documentation traceable, and prevent losses when edits are made by multiple people.",2024-09-19,"https://schema.org/version, https://schema.org/UpdateAction",GitHub is a good foundation for the documentation source files and can also host the actual online documentation
REQ-REVIEW-TOOLING-VERSIONING,🔧 Metadata Versioning Tools,Review,Tooling,high,"Apply version control to the metadata schema. This will improve schema quality, make changes to the schema traceable, and prevent losses when edits are made by multiple people. New versions shall come with migration scripts to convert existing entries to the new version of the schema.",2024-09-23,"https://schema.org/version, https://schema.org/schemaVersion, https://schema.org/UpdateAction","The metadata schema can be versioned using git tags, in this way, the persistent URLs of the metadata schema files will contain the respective version number. Each new release of the schema must be checked with analysis tools to avoid design flaws."
REQ-REVIEW-TOOLING-VALIDATION,🔧 Metadata Validation Tools,Review,Tooling,medium,"Ensure that the metadata schema is accurate, complete, and compliant with predefined standards. This can be done, for example, through metadata schema validation tools which check that data registries can display and compare metadata, standardize mandatory fields for meaningful comparisons, and balance user experience with data comparability.",2024-09-23,,"OBO-Foundry, OOPS!, ..."
